company_name,company_code,question,answer,ask_date
金龙鱼,[300999],请问截止2024年2月29日收盘，金龙鱼的股东户数是多少？谢谢。,"截至2024年2月29日，公司股东共计146,123户。",2024-3-3
金龙鱼,[300999],您好，截止到2024年2月29日，金龙鱼股东户数是多少？谢谢。,"截至2024年2月29日，公司股东共计146,123户。",2024-3-3
金龙鱼,[300999],国家提出要坚持不懈抓好“三农”工作，扎实推进乡村全面振兴，今年金龙鱼会在乡村振兴上继续做好哪些工作？,公司会一如既往积极响应乡村振兴政策，结合集团优势和当地特色资源，深入开展产业助农、人才兴农、教育扶农、生态惠农等工作。,2024-3-3
金龙鱼,[300999],金龙鱼投资成立清洁科技公司，业务涉及物联网技术服务。经营范围包括：病媒生物服务；病媒生物密度控制水平评价服务；病媒生物密度监测评价服务；物联网应用服务；物联网技术服务等。这些营收是否会纳入上市公司？,公司与狮王公司合作成立了益海嘉里狮王（上海）清洁科技有限公司，公司持有其51%股权，其销售收入属于公司营收范围。,2024-3-3
金龙鱼,[300999],国家提出要大力推进现代化产业体系建设，加快发展新质生产力。对于此，金龙鱼有何部署响应？,关于这方面的情况，公司目前没有需要公开披露的信息。,2024-3-3
金龙鱼,[300999],请问公司有没有向英伟达和OpenAI直接供应所需要的金龙鱼食用油？,关于这方面的情况，公司目前没有需要公开披露的信息。,2024-2-28
金龙鱼,[300999],抱歉，这段话中并没有出现指代金龙鱼的命名实体。如果该段话中含有对金龙鱼相关产品的描述或询问，请提供完整文本，我会帮您做出相应的替换并去掉打招呼、寒暄的语句。,公司六步鲜大米上市后获得了良好的市场反馈。关于销量情况，目前没有需要公开披露的信息。,2024-2-27
金龙鱼,[300999],金龙鱼您好：小麦面粉原材料价格高时，贵公司表示原材料价格上涨导致利润下降。现在小麦原材料价格下降，贵公司在2023年业绩快报中提到需求萎靡及市场竞争激烈导致利润下滑。不论原材料价格高低，贵公司的利润为何都呈现下滑趋势？请为广大散户投资者给出解释。,公司近几年受宏观环境及农产品价格等因素影响，利润有所波动。不同业务板块业绩受原材料价格波动的影响各异，通常情况下，在原材料价格下跌时，C端产品的利润相对较好，而B端产品因需消化高价原材料库存，利润可能短期承压。反之，在原材料价格上涨时，B端产品的利润相对占优，而C端产品的利润空间可能受到挤压。公司将坚持做好各项经营工作，充分发挥自身优势，持续为消费者提供安全、营养、健康、美味的优质食品，并持续拓展产业布局深度和广度，以提升公司的竞争力。我们对中国食品市场的前景充满信心，对公司长远发展抱持坚定信念。,2024-2-27
金龙鱼,[300999],金龙鱼产品是否有销售给英伟达（中国）和华为公司？是否与之达成长期供应协议？,关于这方面的情况，公司目前没有需要公开披露的信息。,2024-2-27
金龙鱼,[300999],抱歉，您提供的这段话中并没有出现指代金龙鱼的命名实体。如果原文中包含有关金龙鱼的信息，请提供完整文本，我会根据您的要求进行替换并去掉打招呼、寒暄的语句。,公司控股股东目前没有减持计划。,2024-2-27
